@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 2.54504e-19 , y: 2.25145e-19 , theta: -1.96844e-18
--- 第1个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第2个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第3个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第4个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第5个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第1个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第2个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第3个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第4个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第5个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第1个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第2个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第3个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第4个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第5个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第1个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第2个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第3个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第4个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第5个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第1个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第2个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第3个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第4个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第5个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第1个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第2个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第3个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第4个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第1个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第2个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第3个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第1个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第2个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第1个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第2个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39067e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第1个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第2个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 2.54504e-19 , y: 2.25145e-19 , theta: -1.96844e-18
--- 第1个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第2个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第3个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第4个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第5个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第1个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第2个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第3个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第4个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第5个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第1个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第2个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第3个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第4个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第5个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第1个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第2个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第3个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第4个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第5个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第1个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第2个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第3个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第4个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第5个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第1个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第2个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第3个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第4个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第1个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第2个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第3个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第1个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第2个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第1个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第2个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 1000 , _w_disty: 1.39066e-309 , _w_etheta: 1000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第1个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第2个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
