@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第1个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第2个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第3个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第4个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第5个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第6个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第7个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第8个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第9个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第1个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第2个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第3个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第4个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第5个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第6个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第7个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第8个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第9个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第1个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第2个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第3个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第4个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第5个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第6个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第7个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第8个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第9个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第1个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第2个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第3个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第4个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第5个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第6个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第7个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第8个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第9个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第1个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第2个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第3个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第4个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第6个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第7个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第8个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第9个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第1个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第2个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第3个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
